texto,categoria
"El presidente anuncia nuevas medidas para combatir la inflación","politica"
"Milei se prepara para su discurso en la ONU","politica"
"La oposición exige mayor transparencia en la gestión del gobierno","politica"
"El congreso debate la reforma judicial propuesta por el gobierno","politica"
"El nuevo gabinete presidencial incluye caras conocidas","politica"
"Los partidos políticos se preparan para las elecciones de medio término","politica"
"La administración actual enfrenta críticas por la crisis económica","politica"
"Los líderes de la oposición se reúnen para discutir estrategias","politica"
"La ley de aborto se convierte en tema de debate nacional","politica"
"La relación entre Argentina y Brasil se tensa por el comercio","politica"
"Las elecciones primarias marcan el rumbo del país","politica"
"El presidente viaja a Europa para fortalecer alianzas comerciales","politica"
"La reforma educativa es uno de los temas más discutidos","politica"

"La inflación en Argentina alcanzó un récord del 50% anual","economia"
"Las exportaciones argentinas de soja suben un 30%","economia"
"El Banco Central sube las tasas de interés para controlar la inflación","economia"
"El desempleo en el país se reduce a su nivel más bajo en cinco años","economia"
"Las nuevas regulaciones afectan a las pequeñas empresas","economia"
"Los precios de los alimentos siguen en aumento","economia"
"El mercado inmobiliario comienza a recuperarse tras la crisis","economia"
"Los analistas prevén un crecimiento del PIB para el próximo año","economia"
"Las inversiones extranjeras en Argentina aumentan","economia"
"Las criptomonedas ganan popularidad entre los jóvenes","economia"
"El turismo en Argentina se recupera tras la pandemia","economia"
"El comercio electrónico se expande rápidamente","economia"

"Argentina gana el Mundial de Fútbol en Qatar 2022","deporte"
"Lionel Messi se convierte en el máximo goleador de la historia","deporte"
"La selección argentina de rugby se prepara para el próximo torneo","deporte"
"El equipo de baloncesto logra un histórico pase a la final","deporte"
"Las Olimpíadas de París 2024 prometen ser emocionantes","deporte"
"Los jugadores argentinos brillan en la liga europea","deporte"
"El tenis argentino tiene una nueva estrella en ascenso","deporte"
"Las mujeres en el fútbol argentino están rompiendo barreras","deporte"
"El automovilismo argentino celebra su rica historia","deporte"
"Los atletas argentinos se preparan para los Juegos Panamericanos","deporte"

"La policía desmantela una banda de narcotraficantes en Buenos Aires","seguridad"
"Aumentan los robos en la capital argentina","seguridad"
"El gobierno implementa nuevas medidas de seguridad para combatir el crimen","seguridad"
"La violencia en las calles preocupa a los ciudadanos","seguridad"
"Las fuerzas de seguridad intensifican la lucha contra el narcotráfico","seguridad"
"Los casos de acoso en espacios públicos están aumentando","seguridad"
"El sistema penitenciario enfrenta serias críticas por su sobrepoblación","seguridad"

"El arte en Argentina se reinventa después de la pandemia","otros"
"Las nuevas tendencias de moda son cada vez más sostenibles","otros"
"El cine argentino recibe premios internacionales","otros"
"La literatura contemporánea en Argentina florece","otros"
"Los influencers de viajes están cambiando el turismo en el país","otros"
"Los festivales de música atraen a multitudes en Buenos Aires","otros"
"Las ferias de arte locales ganan reconocimiento internacional","otros"
"El desarrollo de la tecnología en el arte transforma la creatividad","otros"
"Las iniciativas ecológicas están ganando fuerza en la sociedad","otros"
"El folclore argentino sigue vivo en nuevas generaciones","otros"
